0.55,0.80,0.48,0.80,0.66,0.78,0.69,0.46,0.63,0.70,0.67,0.36,0.57,0.65,0.39,0.55,0.81,0.72,0.00,0.72,0.80,0.78,0.70,0.59,0.64,0.45,0.57,0.42,0.34,0.48
0.55,0.43,0.64,0.65,0.68,0.80,0.58,0.65,0.72,0.67,0.47,0.68,0.51,0.70,0.74,0.56,0.52,0.57,0.72,0.00,0.76,0.68,0.59,0.58,0.63,0.63,0.52,0.79,0.81,0.83
0.88,0.60,0.58,0.42,0.47,0.40,0.71,0.62,0.49,0.53,0.77,0.72,0.87,0.48,0.72,0.62,0.71,0.75,0.80,0.76,0.00,0.38,0.82,0.89,0.53,0.61,0.88,0.77,0.77,0.72
0.77,0.51,0.57,0.42,0.52,0.47,0.60,0.61,0.46,0.55,0.65,0.73,0.78,0.53,0.71,0.61,0.62,0.66,0.78,0.68,0.38,0.00,0.74,0.81,0.59,0.59,0.81,0.80,0.81,0.74
0.38,0.58,0.63,0.84,0.79,0.95,0.56,0.68,0.81,0.77,0.46,0.69,0.44,0.79,0.67,0.57,0.66,0.54,0.70,0.59,0.82,0.74,0.00,0.42,0.77,0.61,0.51,0.79,0.75,0.69
0.24,0.60,0.59,0.90,0.81,1.00,0.55,0.64,0.80,0.77,0.47,0.64,0.22,0.80,0.60,0.51,0.61,0.46,0.59,0.58,0.89,0.81,0.42,0.00,0.77,0.57,0.34,0.63,0.65,0.65
0.79,0.55,0.43,0.56,0.39,0.53,0.74,0.48,0.45,0.45,0.70,0.55,0.73,0.35,0.58,0.56,0.62,0.73,0.64,0.63,0.53,0.59,0.77,0.77,0.00,0.52,0.75,0.57,0.62,0.68
0.55,0.61,0.37,0.68,0.54,0.64,0.60,0.29,0.48,0.57,0.61,0.53,0.55,0.50,0.43,0.41,0.63,0.54,0.45,0.63,0.61,0.59,0.61,0.57,0.52,0.00,0.59,0.46,0.42,0.50
0.29,0.61,0.61,0.86,0.80,0.98,0.59,0.65,0.81,0.77,0.46,0.56,0.34,0.79,0.66,0.56,0.60,0.59,0.57,0.52,0.88,0.81,0.51,0.34,0.75,0.59,0.00,0.70,0.65,0.73
0.69,0.81,0.44,0.86,0.59,0.78,0.78,0.54,0.55,0.64,0.76,0.50,0.64,0.54,0.31,0.61,0.80,0.74,0.42,0.79,0.77,0.80,0.79,0.63,0.57,0.46,0.70,0.00,0.29,0.40
0.66,0.86,0.48,0.87,0.65,0.79,0.79,0.51,0.59,0.71,0.78,0.46,0.67,0.58,0.34,0.64,0.86,0.76,0.34,0.81,0.77,0.81,0.75,0.65,0.62,0.42,0.65,0.29,0.00,0.41
0.68,0.79,0.45,0.83,0.57,0.75,0.78,0.56,0.56,0.62,0.69,0.55,0.68,0.61,0.27,0.57,0.84,0.77,0.48,0.83,0.72,0.74,0.69,0.65,0.68,0.50,0.73,0.40,0.41,0.00
