title,audio_file_id,genre,cv_1,cv_2,cv_3,cv_4,cv_5,cv_6,cv_7,cv_8,cv_9,cv_10,cv_11,cv_12,cv_13,cv_14,cv_15,cv_16,cv_17,cv_18,cv_19,cv_20,cv_21,cv_22,cv_23,cv_24,cv_25,cv_26,cv_27,cv_28,cv_29,cv_30,cv_31,cv_32,cv_33,cv_34,cv_35,cv_36,cv_37
Toaripi Song,T5431R19,Men's song,1,4,10,0,5,2,8,11,11,11,0,0,9,11,11,11,2,11,11,8,8,0,0,7,5,11,0,11,5,0,0,2,4,8,11,2,0
Goaribari Song,T5431R20,"",7,11,11,0,2,5,11,11,11,8,0,7,11,11,0,1,5,1,11,8,8,9,5,9,8,11,0,3,5,5,0,0,2,8,8,0,2
Rigo Youths' Song,T5431R27,Boys' song,10,10,10,8,11,11,8,11,11,11,6,11,6,11,0,2,11,1,11,8,2,11,2,7,5,3,3,7,0,0,0,5,9,11,11,2,5
Love Song,T5431R25,Love song,4,11,11,0,2,5,11,11,11,11,0,9,11,11,11,2,11,0,11,8,5,9,2,9,5,11,0,7,5,0,0,5,9,2,5,5,8
Love Song with Drum,T5431R26,Love song,6,10,10,5,2,5,8,11,11,5,1,9,9,11,11,1,5,1,11,11,5,11,5,7,5,3,0,3,5,0,0,5,9,2,5,5,2
Women's Song,T5431R08,Women's song,6,11,11,5,8,5,11,11,11,11,0,9,11,11,0,1,8,1,11,8,2,11,2,9,5,11,0,7,5,0,0,5,9,2,5,5,5
Burial Call for a Warrior,T5431R07,Warrior's song,4,11,11,5,5,2,11,11,11,8,1,9,11,11,3,0,5,0,11,11,5,11,2,7,0,3,0,7,0,0,0,2,2,0,5,11,0
Men's Dance Song,T5431R05,Men's song; dance song,6,11,11,5,5,2,11,11,11,5,1,9,11,11,3,1,5,1,3,8,2,11,2,7,2,3,0,7,11,0,0,5,6,0,8,8,2
Song of the Clan,T5431R06,Clan song,6,11,11,5,5,2,11,11,11,8,0,9,11,11,3,1,11,1,11,8,5,11,2,9,2,11,0,7,5,0,0,2,9,0,8,5,5
Logger Song,T5431R21,"",6,10,10,0,2,0,8,11,11,8,1,9,6,11,0,1,11,0,1,2,5,2,2,9,8,0,0,3,5,0,0,0,2,5,5,0,2
Keunga Song,T5431R14,Warrior's song,5,11,11,2,2,8,11,11,11,8,0,7,11,11,3,1,8,1,3,5,2,11,0,9,8,11,0,7,5,0,0,2,4,0,5,2,2
Bowmen's Song,T5431R18,Warrior's song,6,3,4,5,5,2,11,8,11,2,9,9,0,11,0,3,0,0,11,8,5,11,0,7,2,7,11,7,0,5,0,2,2,5,8,5,2
Marching Song,T5431R01,Marching song; processional music; festival song; warrior's song,3,3,6,5,2,0,5,5,5,5,1,9,9,9,3,1,5,0,11,8,5,11,0,7,0,7,3,7,5,0,0,5,2,0,5,8,8
Line Song,T5431R02,Dance song; warrior's song; line dance,6,3,6,2,5,8,5,5,5,5,0,7,9,9,3,1,8,0,11,8,5,11,0,7,0,11,3,7,5,0,0,5,2,0,5,8,5
Young Girl's Song,T5431R04,Girl's song,6,11,11,5,8,5,11,11,11,0,1,9,11,11,0,11,11,11,8,8,5,11,2,7,8,7,0,7,11,0,11,5,11,0,11,2,2
Marching Song,T5426R04,Marching song; processional music; festival song,6,3,4,5,2,2,11,2,11,2,1,9,9,11,3,1,2,0,11,8,2,11,0,3,0,7,3,3,5,0,0,8,2,0,0,11,0
Ya Wai-a,T5431R03,Courtship song,6,11,11,5,8,5,11,11,11,0,3,9,11,11,3,6,5,6,8,8,5,11,0,7,2,0,0,7,0,0,0,5,11,0,11,5,5
Kanana,T5426R05,Party song,6,11,11,5,5,2,11,11,11,0,1,9,11,11,11,6,2,6,8,8,8,11,0,7,2,3,0,3,0,0,0,5,6,8,11,2,2
Evening Song,T5430R69,Evening song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,7,7,8,3,8,2,2,11,5,9,8,11,0,11,5,5,0,11,2,5,0,2,5
Kuni Song,T5430R70,Children's song,6,11,11,0,0,8,11,11,11,0,0,7,11,11,7,7,11,7,11,2,2,6,2,9,8,11,0,11,5,0,0,2,2,5,5,5,2
Cannibal Song,T5430R68,War song; feast song,6,11,11,0,0,2,11,11,11,5,0,9,11,11,0,1,5,1,11,8,0,0,0,7,2,7,0,3,5,5,0,8,2,2,0,2,2
Love Magic Song,T5430R67,Love song; magic song,10,11,11,8,11,11,11,11,11,11,0,11,11,11,7,7,5,4,11,5,5,11,2,7,8,11,0,7,0,5,0,2,4,5,8,5,2
Song About First Meeting with the Kuni,T5430R71,Historical song; topical,6,11,11,0,2,0,11,11,11,0,0,9,11,11,7,1,2,1,11,5,2,2,0,3,0,3,0,11,5,0,0,2,2,2,2,8,5
Adat Dance,T5426R40m,Social dance; festival song,0,4,6,0,2,2,5,2,2,5,6,9,9,9,11,0,0,0,11,8,5,9,2,3,2,0,0,3,5,0,0,8,2,2,2,8,2
Rondan,T5426R36,Political song; topical song; war song,4,11,11,5,2,8,11,11,11,5,0,9,11,11,7,9,8,11,8,2,8,11,8,7,8,11,0,3,11,5,0,2,2,5,0,2,2
The Liberty to Use Fire,T5426R37,Political song; topical song; war song,4,11,11,5,2,8,11,11,11,8,0,9,11,11,0,10,11,7,8,2,8,11,5,9,8,11,0,11,11,5,0,2,2,5,2,2,2
Kasob,T5426R38,Warrior's song; war song; mourning song,4,11,11,0,0,5,11,11,11,5,1,9,11,11,3,11,8,11,11,8,2,9,5,7,8,7,0,7,5,0,0,2,2,2,2,2,2
Adat Dance,T5426R39,Dance song; song for royalty,4,4,6,5,2,5,5,0,2,8,1,9,1,9,11,11,5,11,11,8,5,11,2,7,2,7,3,3,5,11,0,5,4,5,8,8,5
Les fils de la vierge,T5588R02,"",4,11,11,5,5,5,11,11,11,11,6,9,11,11,3,6,5,3,11,5,5,11,0,7,5,7,0,0,0,5,0,5,6,8,5,5,8
Song of Fakfak,T5430R66,"",6,11,11,5,0,2,11,11,11,11,0,9,11,11,3,2,8,0,8,2,2,11,5,9,5,11,0,11,11,0,0,0,2,0,0,2,0
War Song of Tama Gido,T5431R49,War song; dance song,4,10,6,5,8,8,5,0,0,5,6,9,9,9,0,1,11,0,3,5,2,11,5,3,2,3,0,7,5,0,5,11,9,0,8,11,2
Dance Song,T5431R11,Dance song,6,7,6,5,5,8,5,2,8,2,0,9,1,9,3,2,5,0,11,8,5,11,2,7,8,7,7,3,0,11,0,5,4,8,8,5,2
Orokaiva Song 1,T5431R16,Responsorial song,4,11,11,5,2,5,11,11,11,5,1,9,11,11,0,1,5,1,3,5,2,11,2,7,2,7,0,7,5,0,0,8,6,2,2,5,2
Feast Song,T5431R15,Feast song; fisherman's song,6,9,6,5,5,2,5,5,5,5,6,9,3,9,3,1,2,1,3,5,2,11,0,3,5,3,3,0,0,0,5,5,4,5,8,5,2
Ulut,T5427R45m,"",10,11,11,8,11,11,11,11,11,11,6,11,11,11,3,11,8,9,3,5,2,11,0,3,5,3,0,3,5,0,0,2,4,8,2,2,8
Merikan (American),T5427R46m,Dance song,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,1,11,11,3,8,5,11,2,9,8,11,0,7,0,5,0,2,6,2,2,5,8
Aru Aru,T5427R47m,Lament,10,11,11,8,11,11,11,11,11,11,1,11,11,11,3,5,11,0,8,8,5,11,2,9,5,7,0,7,0,5,0,2,6,2,2,5,8
Chantey,T5427R49m,Work song; chantey,4,11,11,0,8,5,11,11,11,11,3,9,11,11,3,1,0,0,0,11,5,6,0,3,2,3,0,7,0,0,0,2,4,2,5,8,8
Men's Oar Dance,T5427R48m,Men's song; dance song,6,11,11,0,8,5,11,11,11,11,1,9,11,11,3,4,11,0,0,8,5,9,2,9,5,3,0,7,0,5,0,2,6,8,5,5,8
"Song About the Village of Ngarang, During the War",T5427R50,Topical song; historical song; war song; responsorial song,7,11,11,0,0,0,11,11,11,8,0,7,11,11,3,1,11,0,8,8,8,9,0,11,2,11,0,7,0,0,11,5,2,0,0,8,8
Women Poke Fun at Anyone Arriving Late on a Communal Job,T5427R43m,Teasing song,6,11,11,0,5,5,11,11,11,5,0,9,11,11,3,11,2,4,11,8,5,9,2,11,2,11,0,7,0,0,0,0,2,11,11,5,8
Old Mourning Song,T5427R42m,Mourning song; wake song,4,11,11,5,8,5,11,11,11,8,1,9,11,11,0,2,8,1,11,8,8,11,0,11,2,11,0,11,0,5,0,0,2,2,8,2,0
Kumbak,T5430R36,Welcome song; puberty song; initiation rite; girls' song,6,11,11,5,2,2,11,11,11,11,6,9,11,11,3,1,5,0,11,2,2,11,0,1,11,0,0,7,5,5,0,2,4,8,2,0,2
Li-Mein,T5430R34,Dance song,1,3,4,0,8,11,2,5,11,11,0,7,0,7,3,11,11,11,11,5,2,0,0,1,2,11,11,7,5,0,0,5,11,11,11,8,8
Hotumolo,T5430R40,Fisherman's song; spirit song; fishing song,6,11,11,0,2,0,11,11,11,11,6,9,11,11,11,0,5,1,11,5,2,4,0,1,8,0,0,3,0,0,0,2,2,5,2,2,8
Karkar Dance Song 2,T5431R09,Dance song,4,4,6,5,5,2,5,0,5,0,0,9,1,9,11,2,8,0,8,8,8,11,5,9,2,11,3,7,11,5,0,5,4,8,8,8,0
Karkar Dance Song 1,T5431R10,Dance song,6,4,6,5,2,5,5,2,5,0,1,9,9,9,0,0,5,1,11,5,2,11,0,7,2,7,3,3,5,0,0,2,4,2,2,5,0
Christmas Headdress Song,PENDING,Christmas song; headdress song,10,11,11,8,11,11,11,11,11,8,6,11,11,11,3,11,5,9,3,5,2,11,2,9,11,11,0,7,0,5,0,0,2,5,5,2,2
Makai Kauai,T5430R01,Chant; praise song,10,11,11,8,11,11,11,11,11,11,9,11,11,11,3,0,11,0,0,11,11,11,11,7,5,7,0,3,11,11,5,2,6,8,8,8,8
Mele No Kapiolani,T5429R16,Song about leadership; song for royalty,10,10,6,8,11,11,5,0,0,11,6,11,6,9,3,4,11,0,0,8,2,11,0,1,5,0,0,3,0,5,0,5,4,2,2,5,11
Marquesas Chant,T5430R02,Chant,6,11,11,5,8,2,11,11,11,11,1,9,11,11,3,1,2,1,0,11,8,11,0,7,5,3,0,0,5,0,0,2,4,5,8,5,8
Tetumuhe Paca,T5429R26,"",6,10,6,5,2,2,5,2,2,11,1,9,9,9,11,1,11,1,8,8,5,11,0,3,2,0,0,0,0,0,0,5,4,8,8,8,5
Te To O Tainui,T5429R05,Boat song; work song; hauling song; chantey,10,11,11,8,11,11,11,11,11,11,1,11,11,11,0,11,8,11,11,11,8,11,0,7,5,0,0,3,0,0,0,2,4,0,5,2,11
Oriori: Pope e Tangi Ana Tama Ki Te Kai Mana,T5429R03,Lullaby,6,11,11,0,5,2,11,11,11,11,1,9,11,11,11,11,11,11,11,8,8,4,2,1,2,0,0,0,0,0,0,2,6,8,8,5,8
Waiata Aroha by Puhiwahine,T5429R04,Love song,6,11,11,5,2,5,11,11,11,11,0,9,11,11,11,1,11,0,11,8,8,11,2,7,8,11,0,7,0,5,0,2,6,8,8,5,8
Pofo,T5429R12,"",6,11,11,0,0,0,11,11,11,11,1,9,11,11,3,11,11,11,0,8,8,4,0,3,8,0,0,3,0,0,0,5,2,0,2,5,11
First Fierce Part Song,T5429R02,"",6,11,11,0,0,0,11,11,11,8,6,7,11,11,3,10,5,11,11,8,5,4,0,1,0,0,0,3,0,5,0,5,4,2,2,8,8
The Song of Rewi Maniapoto,T5429R13,"",4,11,11,5,0,0,11,11,11,11,0,9,11,11,3,1,2,1,8,8,8,11,2,11,8,11,0,7,5,5,0,0,2,0,2,2,11
Hula Chant,T5429R14,Hula; chant,10,10,10,8,11,11,8,11,11,11,6,11,6,11,3,1,2,0,11,8,2,11,0,1,8,0,0,3,0,0,0,5,2,0,0,2,11
Traditional Chant,T5429R43,Responsorial song; chant,2,11,11,0,2,0,11,11,11,11,6,9,11,11,3,11,5,11,1,5,5,6,0,3,5,3,0,3,5,0,0,0,2,2,5,5,8
Samoan Song 2,T5429R41,Responsorial song,0,4,10,0,2,0,8,11,11,8,6,9,6,11,3,9,5,7,3,5,5,4,0,7,5,7,7,11,0,0,0,0,4,5,8,2,8
Samoan Song 1,T5429R42,"",6,11,11,0,0,0,11,11,11,11,6,9,11,11,3,6,5,9,8,5,5,2,0,7,8,3,0,3,0,0,0,2,2,5,8,2,8
"Meke, About Setura",T5429R15,"",4,10,7,0,0,0,5,0,0,11,6,0,6,5,3,9,2,11,8,5,5,6,5,7,5,0,0,3,5,0,0,0,2,0,2,2,11
Chant,T5401R39,Chant,6,11,11,5,8,8,11,11,11,2,1,9,11,11,11,1,8,1,11,11,11,11,0,7,8,7,0,0,0,0,0,2,6,5,8,0,5
Kawésqar Song,T5401R40,"",10,11,11,8,11,11,11,11,11,5,1,11,11,11,3,1,5,0,1,5,2,11,2,9,8,7,0,0,0,0,0,5,6,5,8,2,5
Caballo Moro,T5401R27,War song,10,11,11,8,11,11,11,11,11,2,0,11,11,11,11,2,11,0,8,2,2,11,8,7,5,11,0,11,11,11,5,2,2,8,2,2,0
"Ñuque, Ñuyquen y Mamita ",T5401R28,Dance song,10,6,10,8,11,11,8,11,11,2,6,11,6,11,3,11,11,11,11,2,2,11,2,1,5,0,0,0,5,5,0,5,4,8,11,5,8
"Masiñancu, Diez Aguilas",T5401R29,"",10,11,11,8,11,11,11,11,11,11,0,11,11,11,7,11,11,0,11,2,2,11,8,7,8,11,0,11,5,5,5,2,4,5,8,8,2
Dance of the Kollas,T5630R14,Ritual song; dance song; processional music,6,3,5,5,5,2,2,8,5,8,1,9,1,7,11,6,2,4,8,5,2,11,2,7,5,3,7,7,0,0,0,5,6,5,8,2,2
Lullaby,T40023R02,Lullaby,10,11,11,8,11,11,11,11,11,5,0,11,11,11,0,11,2,11,11,11,8,11,0,7,11,11,0,7,0,0,0,5,6,5,8,5,2
Taruquita Vicuñita,T40023R01,Animal song,6,10,7,5,8,8,0,2,2,11,6,9,6,5,3,6,2,7,8,5,2,11,0,3,8,0,3,3,0,0,0,5,6,8,8,5,5
Dance Song,T5402R34,Dance song,5,3,4,0,8,8,11,0,11,2,1,7,0,5,3,0,0,0,0,11,8,6,0,3,8,7,0,7,0,0,0,8,4,8,8,2,0
Round Dance,T5402R35,Dance song; round dance,5,11,11,11,2,11,11,11,11,2,6,11,11,11,3,0,0,0,0,11,5,11,2,1,5,3,0,7,5,5,5,5,6,8,8,2,0
Le Chant du Bois,T5402R03,Dance song; feast song; forest song,6,10,6,5,8,2,5,2,2,2,1,9,9,9,0,6,2,7,11,5,5,11,2,7,8,0,0,0,5,0,0,2,4,8,8,2,2
Funeral Lament,T5402R24m,Funeral song; lament,5,11,11,2,8,8,11,11,11,0,0,7,11,11,0,2,2,0,11,8,2,11,5,9,8,11,0,7,11,5,0,11,2,5,0,2,0
Social Music,T5403R10,Social song,6,10,10,5,8,5,8,11,11,2,6,9,9,3,3,6,5,7,8,5,2,11,0,3,5,0,0,0,0,0,0,5,6,8,8,2,2
Shaman's Invocation,T5402R78,Trance song; healing song; shaman song,10,11,11,8,11,11,11,11,11,5,0,11,11,11,7,7,5,4,11,2,5,11,0,9,5,11,0,3,0,0,0,0,4,2,5,0,5
Social Music,T5403R11,Social song,6,11,11,5,8,8,11,11,11,2,1,9,11,11,3,9,2,11,11,8,5,11,5,7,5,7,0,0,0,5,0,2,4,8,11,8,2
Social Music,T5403R12,Social song,6,10,6,5,8,5,5,8,5,2,1,9,9,9,3,7,2,0,3,5,2,11,0,3,5,0,0,0,0,5,0,5,9,5,11,8,2
Evening Singing,T5403R13,Evening song,6,11,11,5,8,8,11,11,11,2,1,9,11,11,3,6,5,9,3,5,5,11,5,7,5,7,0,0,0,11,11,5,9,11,11,5,2
Kozi-Kozi,T5403R22,Healing song; animal song; dance song,8,11,11,8,11,11,11,11,11,0,1,11,11,11,7,10,5,11,11,2,2,11,0,7,8,7,0,7,11,5,0,11,2,0,8,2,0
Ceremonial Song,T5403R23,Creation song; spirit song; invocation,8,4,10,8,11,11,8,11,11,2,1,11,3,11,11,9,2,11,11,5,2,11,0,7,5,0,0,0,0,5,5,2,9,5,8,5,5
Kwahahalu; Ihaha,T5403R24,Ceremonial song; chant; rain song; dry season song,10,10,10,8,11,11,8,11,11,2,1,11,9,11,3,11,5,11,11,5,2,11,2,1,2,0,0,3,0,5,5,5,6,5,5,8,5
Ceremonial Chant,T5581R13,Ceremonial song; chant,6,10,6,5,8,8,5,8,8,2,6,9,9,9,11,9,5,11,8,8,5,11,2,3,2,0,0,0,5,5,5,2,4,8,8,8,2
Spear-throwing Contest Song,T5403R26,Ceremonial song; competitive song,10,11,11,8,11,11,11,11,11,2,0,11,11,11,3,1,2,1,3,8,8,11,0,11,8,11,0,7,5,0,0,0,6,8,2,2,5
Ceremonial Song,T5401R72,Ceremonial song; spirit song,6,11,11,5,5,5,11,11,11,5,6,9,11,11,3,6,2,4,8,5,2,11,2,3,5,3,0,0,0,11,0,2,6,11,11,8,2
Dance of the Mekrakaroré,T5403R61,Initiation rite; dance song; boys' song,6,11,11,5,8,5,11,11,11,2,1,5,11,11,11,6,11,6,8,5,2,11,2,1,2,3,0,7,5,5,0,11,11,5,8,11,2
Anduvé,T5403R86,Mask dance; dance song,6,10,6,5,5,2,5,2,2,2,6,9,9,9,0,6,2,9,8,8,5,11,0,1,5,0,0,3,5,5,5,5,6,2,8,8,2
Shaman's Song,T5404R53,Shaman song,10,10,10,8,11,11,8,11,11,5,1,11,6,11,0,7,5,4,3,5,5,11,2,7,8,3,0,3,5,5,0,5,4,8,2,2,2
Appel à la danse; Ti-Ri-Ri,T5404R54,Dancce song,10,11,11,8,11,11,11,11,11,2,0,11,11,11,0,6,5,4,11,2,5,11,2,3,8,11,0,3,5,5,0,2,2,2,2,2,8
Chœur avec flûte et tambour,T5404R55,"",6,4,5,0,8,8,5,8,8,2,1,9,1,5,0,10,8,11,11,5,5,4,2,7,5,0,0,7,5,0,0,5,6,5,8,8,2
Ma mi c'ano,T5404R41,"",10,11,11,8,11,11,11,11,11,2,6,11,11,11,3,11,5,11,8,5,5,11,2,3,5,0,0,0,5,0,5,5,6,8,8,5,5
Lamentation funèbre à la mort de l'enfant de Bör,T5404R42,Funeral song; lament; for the dead,4,11,11,0,8,2,11,11,11,11,1,9,11,11,0,4,8,0,11,8,2,4,0,7,8,3,0,3,5,0,0,2,4,8,8,2,2
Curing Song,T5403R88m,Shaman song; healing song,4,11,11,5,8,5,11,11,11,2,1,9,11,11,11,7,5,9,5,5,2,11,2,7,5,3,0,7,5,5,0,2,9,8,8,5,5
"Cancion Para La Muchacha, Me Voy Para Durango",T5405R01,Love song; courtship song; dance song,10,10,6,8,11,11,0,0,2,8,6,11,6,9,3,1,0,0,1,8,2,11,0,3,8,0,0,3,0,5,0,5,6,5,5,2,5
Squash Dance,T5405R02m,Dance song; celebration song; harvest song,4,10,10,5,8,5,8,11,11,2,6,9,9,11,0,1,2,0,11,8,2,11,0,1,2,0,0,3,0,0,0,5,9,8,8,8,2
Canto Del Tigre,T5404R73,Magic song; animal song,10,11,11,8,11,11,11,11,11,2,0,11,11,11,3,10,11,11,8,5,2,11,0,7,2,3,0,7,0,11,0,2,9,5,5,8,5
Shaman Song,T5404R74,Chant; shaman song,10,11,11,8,11,11,11,11,11,2,1,11,11,11,3,9,5,11,11,8,2,11,0,3,5,3,0,7,0,5,0,5,6,8,8,2,2
"Vibola, Vibola",T5405R73,Childrens' song; animal song,10,11,11,8,11,11,11,11,11,8,1,11,11,11,3,1,5,1,11,5,2,11,0,3,8,3,0,0,0,5,0,5,4,5,2,2,8
Song for St. Peter,T5404R79,Saint's song,0,11,11,0,2,8,11,11,11,11,6,0,11,11,0,6,2,6,11,8,5,0,2,7,8,7,0,7,5,0,0,2,4,5,8,5,5
Girls' Coming of Age Song,PENDING,Initiation rite; puberty song; girls' song,6,10,10,5,5,2,8,11,11,11,1,9,1,11,3,6,5,10,8,5,5,11,2,7,8,3,3,3,0,0,0,5,6,8,8,5,2
Medicine Song,PENDING,Healing song; medicine song,10,4,10,8,11,11,8,11,11,11,1,11,9,11,3,6,5,3,3,5,5,11,2,3,8,0,0,0,0,5,0,2,4,8,8,2,2
Saguaro Song,PENDING,Rain song; ceremonial song,6,11,11,5,5,5,11,11,11,8,9,9,11,11,3,6,8,9,3,2,2,11,2,11,8,7,0,7,5,0,0,2,4,5,5,2,2
